page	ref	file	w	h	dw	dh
junctions	gw1.png	junctions/gw1.webp	480	420	240	210
junctions	gw2-2.png	junctions/gw2-2.webp	730	530	365	265
junctions	stop-3.png	junctions/stop-3.webp	480	420	240	210
traffic-lights	redamber.png	traffic-lights/redamber.webp	110	210	55	105
traffic-lights	rightfilter.jpg	traffic-lights/rightfilter.webp	174	210	87	105
traffic-lights	amber.png	traffic-lights/amber.webp	110	210	55	105
traffic-lights/crossroads	nearside.png	traffic-lights/crossroads/nearside.webp	376	383	188	192
traffic-lights/crossroads	offside-2.png	traffic-lights/crossroads/offside-2.webp	376	383	188	192
pedestrian-crossings/other-crossings	toucan-2.jpg	pedestrian-crossings/other-crossings/toucan-2.webp	225	450	112	225
pedestrian-crossings/pelican-crossings	pelican.jpg	pedestrian-crossings/pelican-crossings/pelican.webp	940	740	470	370
pedestrian-crossings/puffin-crossings	puffinbutton-2.png	pedestrian-crossings/puffin-crossings/puffinbutton-2.webp	280	440	140	220
pedestrian-crossings/zebra-crossings	zebra-2.jpg	pedestrian-crossings/zebra-crossings/zebra-2.webp	700	1080	350	540
position/bends	left-bend-2.png	position/bends/left-bend-2.webp	540	696	270	348
position/bends	right-bend.png	position/bends/right-bend.webp	540	696	270	348
position/lanes	lanes-2.png	position/lanes/lanes-2.webp	474	1434	237	717
position/moving-off-and-stopping	moveoff.png	position/moving-off-and-stopping/moveoff.webp	1200	900	600	450
position/obstacles	obstacles.png	position/obstacles/obstacles.webp	270	420	135	210
position/space-and-speed	spacespeed.png	position/space-and-speed/spacespeed.webp	270	420	135	210
junctions/crossroads	gwcross1.png	junctions/crossroads/gwcross1.webp	540	390	270	195
junctions/crossroads	gwcross2.png	junctions/crossroads/gwcross2.webp	540	390	270	195
junctions/emerging	gwemerge1.png	junctions/emerging/gwemerge1.webp	470	420	235	210
junctions/emerging	gwemerge2.png	junctions/emerging/gwemerge2.webp	410	410	205	205
junctions/turning-left	gwleft1.png	junctions/turning-left/gwleft1.webp	500	440	250	220
junctions/turning-left	gwleft2-2.png	junctions/turning-left/gwleft2-2.webp	500	360	250	180
junctions/turning-right	gwright1.png	junctions/turning-right/gwright1.webp	380	440	190	220
junctions/turning-right	gwright2-2.png	junctions/turning-right/gwright2-2.webp	380	290	190	145
stopping/controlled-stop	graph.png	stopping/controlled-stop/graph.webp	1024	641	512	320
stopping/following-distance	distance-2.png	stopping/following-distance/distance-2.webp	540	1300	270	650
stopping/planning	fromabove.png	stopping/planning/fromabove.webp	400	480	200	240
stopping/planning	feetbehindvan-2.png	stopping/planning/feetbehindvan-2.webp	340	260	170	130
